Buenos Aires;celeste y blanca con un sol;peso;campos;Cataratas del Iguazu;ganaderia;yaguarete;Messi;espaniol;arte Mepuche;cristianismo;presidente;antigua colonia espaniola;-34.58952254327074;-58.34678308238882
Pekin;roja y estrellas doradas;yuanes;geografia;hitos;industria;animales;personalidades;chino;arte;religion;gobierno;varios;39.9035;116.388
Baghdad;roja blanca y negra;dinares;desierto;hitos;petroleo;animales;personalidades;arabe;arte;religion;gobierno;varios;33.3245;44.4214
Puerto Moresby;roja y negra;kinas;geografia;hitos;industria;animales;personalidades;tok pisin;arte;religion;gobierno;varios;-9.47979;147.19
Sidney;azul blanca y roja;dolares;geografia;hitos;industria;animales;personalidades;ingles;arte;religion;gobierno;varios; -33.8667;151.2
Oslo;roja y cruz azul;coronas;geografia;hitos;industria;animales;personalidades;noruego;arte;religion;gobierno;varios;59.9138;10.7387
Colombo;leon dorado;rupias;geografia;hitos;industria;animales;personalidades;cingales;arte;religion;gobierno;varios;6.93548;79.84868
Montreal;blanca y roja con una hoja;dolares;geografia;hitos;industria;animales;personalidades;ingles;arte;religion;gobierno;varios;45.5016889;-73.567256
Rio de Janeiro;verde y azul;reales;geografia;hitos;industria;animales;personalidades;portugues;arte;religion;gobierno;varios;-22.9035;-43.2096
Ciudad de Mexico;verde blanca y roja;pesos;geografia;hitos;industria;animales;personalidades;espaniol;arte;religion;gobierno;varios;19.4978;-99.1269
Atenas;Azul y blanca;Drachmas;geografia;hitos;plantaciones de aceitunas;animales;Espartanos;Griego;arte;religion;Primer Ministro;varios;37.9816;23.7308
Singapur;blanca y roja con luna;dolares;geografia;hitos;industria;animales;personalidades;ingles y chino;arte;religion;gobierno;varios;1.352083;103.819836
Roma;verde blanca y roja;euros;geografia;hitos;industria;animales;personalidades;italiano;arte;religion;gobierno;varios;41.8905;12.4942
Bamako;verde amarilla y roja;francos;geografia;hitos;industria;animales;personalidades;frances;arte;religion;gobierno;varios;12.6333;-7.98333
New York;roja blanca y azul;dolares;geografia;hitos;industria;animales;personalidades;ingles;arte;religion;gobierno;varios;40.6643;-73.9385
Moscu;roja;rublos;geografia;hitos;industria;animales;personalidades;ruso;arte;religion;gobierno;varios;55.7508;37.6172
Bangkok;roja blanca y azul;baht;geografia;hitos;industria;animales;personalidades;tailandes;arte;religion;gobierno;varios;13.7522;100.494
Londres;roja blanca y azul;libras;geografia;hitos;industria;animales;personalidades;ingles;arte;religion;gobierno;varios;51.5072;-0.1275
Lima;roja y blanca;soles;geografia;hitos;industria;animales;personalidades;espaniol;arte;religion;gobierno;varios;-12.04318;-77.02824
El Cairo;roja blanca y negra;libras;geografia;hitos;industria;animales;personalidades;arabe;arte;religion;gobierno;varios;30.0446;31.2456
Kathmandu;roja y blanca con doble triangulo;rupias;geografia;hitos;industria;animales;personalidades;nepali;arte;religion;gobierno;varios;27.7033;85.3181